OBJECTID,tide,behavior,dive_time_obs,tidal_height,latitude,longitude,meters_offshore,location,general_tide,RASTERVALU,RASTERVALU
139,mid_flood,diving,20,1.71,44.4175313788404,-68.2481817342314,100,hulls_cove,mid,-2.17,
140,mid_flood,diving,13,1.71,44.4175313788404,-68.2481817342314,100,hulls_cove,mid,-2.17,
141,mid_flood,diving,12,1.71,44.4175313788404,-68.2481817342314,100,hulls_cove,mid,-2.17,
142,mid_flood,diving,18,1.71,44.415542008193,-68.2477741472758,200,hulls_cove,mid,-2.64,
143,mid_flood,diving,21,1.71,44.415542008193,-68.2477741472758,200,hulls_cove,mid,-2.64,
144,mid_flood,diving,14,1.71,44.415542008193,-68.2477741472758,200,hulls_cove,mid,-2.64,
145,mid_flood,diving,22,1.71,44.415542008193,-68.2477741472758,200,hulls_cove,mid,-2.64,
146,mid_flood,diving,20,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid,-3.22,
147,mid_flood,diving,17,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid,-3.22,
148,mid_flood,diving,25,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid,-3.22,
149,mid_flood,diving,30,1.71,44.418538952997,-68.2457890290726,100,hulls_cove,mid,-3.22,
150,mid_flood,diving,21,1.71,44.4181350585097,-68.2460717698698,100,hulls_cove,mid,-3.57,
151,mid_flood,diving,20,1.71,44.4181350585097,-68.2460717698698,100,hulls_cove,mid,-3.57,
152,mid_flood,diving,19,1.71,44.4181350585097,-68.2460717698698,100,hulls_cove,mid,-3.57,
153,mid_flood,diving,15,1.71,44.4181350585097,-68.2460717698698,100,hulls_cove,mid,-3.57,
154,mid_flood,diving,15,1.71,44.4181350585097,-68.2460717698698,100,hulls_cove,mid,-3.57,
155,mid_ebb,diving,20,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid,-2.95,
156,mid_ebb,diving,25,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid,-2.95,
157,mid_ebb,diving,45,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid,-2.95,
158,mid_ebb,diving,50,1.88,44.4165349875452,-68.2478987104059,150,hulls_cove,mid,-2.95,
159,mid_ebb,diving,21,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid,-2.6,
160,mid_ebb,diving,36,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid,-2.6,
161,mid_ebb,diving,46,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid,-2.6,
162,mid_ebb,diving,55,1.88,44.4170942406266,-68.2479639582822,150,hulls_cove,mid,-2.6,
163,low_flood,diving,52,1.86,44.392219,-68.204936,35,bar_harbor_pier,low,,-4.27
164,low_flood,diving,65,1.86,44.392219,-68.204936,35,bar_harbor_pier,low,,-4.27
165,low_flood,diving,73,1.86,44.392219,-68.204936,35,bar_harbor_pier,low,,-4.27
166,mid_flood,diving,53,1.6,44.3934085,-68.204452,20,bar_harbor_pier,mid,,-5.17
167,mid_flood,diving,51,1.6,44.395674,-68.201843,45,bar_harbor_pier,mid,,-6.29
168,low_slack,diving,51,0,44.394715,-68.212644,12,bar_harbor_bar,low,,-3.18
169,low_slack,diving,35,0,44.394715,-68.212644,12,bar_harbor_bar,low,,-3.18
170,low_slack,diving,29,0,44.394715,-68.212644,12,bar_harbor_bar,low,,-3.18
171,low_slack,diving,27,0,44.394715,-68.212644,12,bar_harbor_bar,low,,-3.18
172,low_slack,diving,59,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low,,-4.64
173,low_slack,diving,76,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low,,-4.64
174,low_slack,diving,77,-0.01,44.39273779,-68.20462882,55,bar_harbor_pier,low,,-4.64
175,low_slack,diving,50,-0.01,44.39218461,-68.20310868,15,bar_harbor_pier,low,,-6.43
176,low_slack,diving,35,-0.01,44.39114865,-68.2029257,2,bar_harbor_pier,low,,-1.5
